fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
11.6;0.58;0.66;2.2;0.074;10.0;47.0;1.0008;3.25;0.57;9.0;3
7.3;0.98;0.05;2.1;0.061;20.0;49.0;0.99705;3.31;0.55;9.7;3
8.092337661949509;1.1861298704403935;0.0140667903414145;3.0143413721919434;0.0997230055952515;5.7033395170707255;10.406679034141453;0.9976858923910142;3.4859332096585853;0.4633005565363653;10.970333951707072;3
7.586040949781133;1.5524308758177383;0.0;2.250059789852816;0.1342081899562267;5.0;9.348976255471666;0.9948884232620137;3.509073382642263;0.4097713351532066;10.886040949781131;3
7.6047499484996655;1.147462509441728;0.0045499988555481;4.056625048639206;0.0940425007438937;5.227499942777405;13.317500171667785;0.9971277998672436;3.595875008583389;0.5286250028611298;10.768249982833222;3
8.436532623951699;0.9863312470759242;0.1693003285787775;3.5071516195012817;0.1325876200890083;5.0;14.691021749301132;0.9975674304490216;3.4676098889142337;0.571095978718551;9.905324988303695;3
6.976064470394737;0.8731012752302633;0.0176064470394737;1.5169160467105272;0.1944614381973682;17.408515763157897;36.04257881578949;0.9955339817214474;3.316478710592105;0.524085157631579;9.764787105921052;3
7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9974;3.38;0.5;9.0;4
8.1;0.87;0.0;3.3;0.096;26.0;61.0;1.00025;3.6;0.72;9.8;4
8.2;0.915;0.27;2.1;0.088;7.0;23.0;0.9962;3.26;0.47;10.0;4
10.1;0.935;0.22;3.4;0.105;11.0;86.0;1.001;3.43;0.64;11.3;4
6.9;0.48;0.2;1.9;0.082;9.0;23.0;0.99585;3.39;0.43;9.05;4
7.990089639779582;0.707102008287413;0.0183183933700696;2.445044819889791;0.0810915919668503;11.725224099448956;23.90840803314965;0.9977849091106088;3.3809159196685035;0.4572522409944896;9.549624418232307;4
9.589233391065108;0.373047968934751;0.3346398279037694;2.167854389003427;0.0656793149690747;13.035631670102802;38.250192769760126;0.99660932592055;3.2557164887972587;0.5028582443986294;9.267854389003428;4
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;5
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5
7.6;0.9;0.06;2.5;0.079;5.0;10.0;0.9967;3.39;0.56;9.8;5
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;5
7.6;0.95;0.03;2.0;0.09;7.0;20.0;0.9959;3.2;0.56;9.6;5
6.9;0.5;0.04;1.5;0.085;19.0;49.0;0.9958;3.35;0.78;9.5;5
7.2;0.73;0.02;2.5;0.076;16.0;42.0;0.9972;3.44;0.52;9.3;5
7.4;0.39;0.48;2.0;0.082;14.0;67.0;0.9972;3.34;0.55;9.2;5
7.9;0.5;0.33;2.0;0.084;15.0;143.0;0.9968;3.2;0.55;9.5;5
7.8;0.59;0.33;2.0;0.074;24.0;120.0;0.9968;3.25;0.54;9.4;5
8.8;0.37;0.48;2.1;0.097;39.0;145.0;0.9975;3.04;1.03;9.3;5
7.5;0.49;0.19;1.9;0.076;10.0;44.0;0.9957;3.39;0.54;9.7;5
7.8;0.53;0.33;2.4;0.08;24.0;144.0;0.99655;3.3;0.6;9.5;5
6.8;0.61;0.04;1.5;0.057;5.0;10.0;0.99525;3.42;0.6;9.5;5
7.1;0.63;0.06;2.0;0.083;8.0;29.0;0.99855;3.67;0.73;9.6;5
7.2;0.65;0.02;2.3;0.094;5.0;31.0;0.9993;3.67;0.8;9.7;5
10.3;0.34;0.52;2.8;0.159;15.0;75.0;0.9998;3.18;0.64;9.4;5
7.0;0.58;0.12;1.9;0.091;34.0;124.0;0.9956;3.44;0.48;10.5;5
7.3;0.365;0.49;2.5;0.088;39.0;106.0;0.9966;3.36;0.78;11.0;5
9.3;0.4;0.49;2.5;0.085;38.0;142.0;0.9978;3.22;0.55;9.4;5
11.9;0.38;0.49;2.7;0.098;12.0;42.0;1.0004;3.16;0.61;10.3;5
9.3;0.715;0.24;2.1;0.07;5.0;20.0;0.9966;3.12;0.59;9.9;5
9.0;0.45;0.49;2.6;0.084;21.0;75.0;0.9987;3.35;0.57;9.7;5
9.6;0.6;0.5;2.3;0.079;28.0;71.0;0.9997;3.5;0.57;9.7;5
7.9;0.35;0.21;1.9;0.073;46.0;102.0;0.9964;3.27;0.58;9.5;5
9.9;0.54;0.45;2.3;0.071;16.0;40.0;0.9991;3.39;0.62;9.4;5
9.8;0.88;0.25;2.5;0.104;35.0;155.0;1.001;3.41;0.67;11.2;5
7.5;0.42;0.31;1.6;0.08;15.0;42.0;0.9978;3.31;0.64;9.0;5
8.6;0.8;0.11;2.3;0.084;12.0;31.0;0.9979;3.4;0.48;9.9;5
9.2;0.92;0.24;2.6;0.087;12.0;93.0;0.9998;3.48;0.54;9.8;5
9.4;0.615;0.28;3.2;0.087;18.0;72.0;1.0001;3.31;0.53;9.7;5
8.4;1.035;0.15;6.0;0.073;11.0;54.0;0.999;3.37;0.49;9.9;5
7.4;0.49;0.19;3.0;0.077;16.0;37.0;0.9966;3.37;0.51;10.5;5
7.1;0.31;0.3;2.2;0.053;36.0;127.0;0.9965;2.94;1.62;9.5;5
8.6;0.33;0.4;2.6;0.083;16.0;68.0;0.99782;3.3;0.48;9.4;5
9.3;0.655;0.26;2.0;0.096;5.0;35.0;0.99738;3.25;0.42;9.6;5
9.5;0.57;0.27;2.3;0.082;23.0;144.0;0.99782;3.27;0.55;9.4;5
7.1;0.52;0.03;2.6;0.076;21.0;92.0;0.99745;3.5;0.6;9.8;5
9.1;0.66;0.15;3.2;0.097;9.0;59.0;0.99976;3.28;0.54;9.6;5
6.7;0.54;0.13;2.0;0.076;15.0;36.0;0.9973;3.61;0.64;9.8;5
6.0;0.5;0.04;2.2;0.092;13.0;26.0;0.99647;3.46;0.47;10.0;5
7.1;0.685;0.35;2.0;0.088;9.0;92.0;0.9963;3.28;0.62;9.4;5
6.4;0.64;0.21;1.8;0.081;14.0;31.0;0.99689;3.59;0.66;9.8;5
7.5;0.42;0.32;2.7;0.067;7.0;25.0;0.99628;3.24;0.44;10.4;5
7.7;0.39;0.12;1.7;0.097;19.0;27.0;0.99596;3.16;0.49;9.4;5
10.0;0.35;0.45;2.5;0.092;20.0;88.0;0.99918;3.15;0.43;9.4;5
8.5;0.44;0.5;1.9;0.369;15.0;38.0;0.99634;3.01;1.1;9.4;5
9.8;0.39;0.43;1.65;0.068;5.0;11.0;0.99478;3.19;0.46;11.4;5
7.5;0.61;0.2;1.7;0.076;36.0;60.0;0.99494;3.1;0.4;9.3;5
7.8;0.5;0.09;2.2;0.115;10.0;42.0;0.9971;3.18;0.62;9.5;5
8.7;0.78;0.51;1.7;0.415;12.0;66.0;0.99623;3.0;1.17;9.2;5
6.8;0.83;0.09;1.8;0.074;4.0;25.0;0.99534;3.38;0.45;9.6;5
8.0;0.52;0.25;2.0;0.078;19.0;59.0;0.99612;3.3;0.48;10.2;5
6.9;0.63;0.02;1.9;0.078;18.0;30.0;0.99712;3.4;0.75;9.8;5
7.6;0.49;0.33;1.9;0.074;27.0;85.0;0.99706;3.41;0.58;9.0;5
7.1;0.69;0.04;2.1;0.068;19.0;27.0;0.99712;3.44;0.67;9.8;5
5.9;0.645;0.12;2.0;0.075;32.0;44.0;0.99547;3.57;0.71;10.2;5
7.5;0.49;0.2;2.6;0.332;8.0;14.0;0.9968;3.21;0.9;10.5;6
10.1;0.31;0.44;2.3;0.08;22.0;46.0;0.9988;3.32;0.67;9.7;6
6.6;0.5;0.01;1.5;0.06;17.0;26.0;0.9952;3.4;0.58;9.8;6
7.9;1.04;0.05;2.2;0.084;13.0;29.0;0.9959;3.22;0.55;9.9;6
8.6;0.645;0.25;2.0;0.083;8.0;28.0;0.99815;3.28;0.6;10.0;6
8.0;0.38;0.06;1.8;0.078;12.0;49.0;0.99625;3.37;0.52;9.9;6
11.5;0.18;0.51;4.0;0.104;4.0;23.0;0.9996;3.28;0.97;10.1;6
7.5;0.4;0.12;3.0;0.092;29.0;53.0;0.9967;3.37;0.7;10.3;6
10.2;0.36;0.64;2.9;0.122;10.0;41.0;0.998;3.23;0.66;12.5;6
8.0;0.58;0.28;3.2;0.066;21.0;114.0;0.9973;3.22;0.54;9.4;6
8.3;0.42;0.38;2.5;0.094;24.0;60.0;0.9979;3.31;0.7;10.8;6
12.8;0.84;0.63;2.4;0.088;13.0;35.0;0.9997;3.1;0.6;10.4;6
8.6;0.53;0.22;2.0;0.1;7.0;27.0;0.9967;3.2;0.56;10.2;6
6.3;0.36;0.19;3.2;0.075;15.0;39.0;0.9956;3.56;0.52;12.7;6
11.8;0.38;0.55;2.1;0.071;5.0;19.0;0.9986;3.11;0.62;10.8;6
7.8;0.91;0.07;1.9;0.058;22.0;47.0;0.99525;3.51;0.43;10.7;6
10.0;0.56;0.24;2.2;0.079;19.0;58.0;0.9991;3.18;0.56;10.1;6
9.3;0.36;0.39;1.5;0.08;41.0;55.0;0.99652;3.47;0.73;10.9;6
6.8;0.56;0.22;1.8;0.074;15.0;24.0;0.99438;3.4;0.82;11.2;6
7.7;0.715;0.01;2.1;0.064;31.0;43.0;0.99371;3.41;0.57;11.8;6
8.8;0.61;0.19;4.0;0.094;30.0;69.0;0.99787;3.22;0.5;10.0;6
7.1;0.59;0.01;2.3;0.08;27.0;43.0;0.9955;3.42;0.58;10.7;6
10.0;0.46;0.44;2.9;0.065;4.0;8.0;0.99674;3.33;0.62;12.2;6
7.3;0.305;0.39;1.2;0.059;7.0;11.0;0.99331;3.29;0.52;11.5;6
7.6;0.4;0.29;1.9;0.078;29.0;66.0;0.9971;3.45;0.59;9.5;6
8.5;0.47;0.27;1.9;0.058;18.0;38.0;0.99518;3.16;0.85;11.1;6
9.1;0.5;0.3;1.9;0.065;8.0;17.0;0.99774;3.32;0.71;10.5;6
8.2;0.32;0.42;2.3;0.098;3.0;9.0;0.99506;3.27;0.55;12.3;6
8.2;0.74;0.09;2.0;0.067;5.0;10.0;0.99418;3.28;0.57;11.8;6
8.4;0.34;0.42;2.1;0.072;23.0;36.0;0.99392;3.11;0.78;12.4;6
7.4;0.49;0.27;2.1;0.071;14.0;25.0;0.99388;3.35;0.63;12.0;6
8.0;0.48;0.34;2.2;0.073;16.0;25.0;0.9936;3.28;0.66;12.4;6
7.9;0.33;0.41;1.5;0.056;6.0;35.0;0.99396;3.29;0.71;11.0;6
6.7;0.41;0.43;2.8;0.076;22.0;54.0;0.99572;3.42;1.16;10.6;6
8.8;0.45;0.43;1.4;0.076;12.0;21.0;0.99551;3.21;0.75;10.2;6
7.7;0.26;0.26;2.0;0.052;19.0;77.0;0.9951;3.15;0.79;10.9;6
10.2;0.33;0.46;1.9;0.081;6.0;9.0;0.99628;3.1;0.48;10.4;6
7.1;0.75;0.01;2.2;0.059;11.0;18.0;0.99242;3.39;0.4;12.8;6
8.0;0.715;0.22;2.3;0.075;13.0;81.0;0.99688;3.24;0.54;9.5;6
6.5;0.51;0.15;3.0;0.064;12.0;27.0;0.9929;3.33;0.59;12.8;6
